l2_ratio	mean abs(top weights)	mean AUC ROC	std AUC ROC	mean Accuracy	std Accuracy	motif 1	motif 2	motif 3	motif 4	motif 5	motif 6	motif 7	motif 8	motif 9	motif 10	motif 11	motif 12	motif 13	motif 14	motif 15	motif 16	motif 17	motif 18	motif 19	motif 20
0.0	0.8721387356872385	0.7664775794038233	0.03619432832926224	0.71	0.03113590282044901	SU(HW)	Med	sug	hth	dmrt99B	peb	Mad	Cf2	knrl	pad	caup	Eip93F	vfl	brk	E(spl)	(bi)_(Nasonia_vitripennis)_(DBD_0.98)	Su(H)	CG4404	vis	achi
0.1	0.8721387356872385	0.7664775794038233	0.03619432832926224	0.71	0.03113590282044901	SU(HW)	Med	sug	hth	dmrt99B	peb	Mad	Cf2	knrl	pad	caup	Eip93F	vfl	brk	E(spl)	(bi)_(Nasonia_vitripennis)_(DBD_0.98)	Su(H)	CG4404	vis	achi
0.2	0.8721387356872385	0.7664775794038233	0.03619432832926224	0.71	0.03113590282044901	SU(HW)	Med	sug	hth	dmrt99B	peb	Mad	Cf2	knrl	pad	caup	Eip93F	vfl	brk	E(spl)	(bi)_(Nasonia_vitripennis)_(DBD_0.98)	Su(H)	CG4404	vis	achi
0.30000000000000004	0.8721387356872385	0.7664775794038233	0.03619432832926224	0.71	0.03113590282044901	SU(HW)	Med	sug	hth	dmrt99B	peb	Mad	Cf2	knrl	pad	caup	Eip93F	vfl	brk	E(spl)	(bi)_(Nasonia_vitripennis)_(DBD_0.98)	Su(H)	CG4404	vis	achi
0.4	0.8721387356872385	0.7664775794038233	0.03619432832926224	0.71	0.03113590282044901	SU(HW)	Med	sug	hth	dmrt99B	peb	Mad	Cf2	knrl	pad	caup	Eip93F	vfl	brk	E(spl)	(bi)_(Nasonia_vitripennis)_(DBD_0.98)	Su(H)	CG4404	vis	achi
0.5	0.8721387356872385	0.7664775794038233	0.03619432832926224	0.71	0.03113590282044901	SU(HW)	Med	sug	hth	dmrt99B	peb	Mad	Cf2	knrl	pad	caup	Eip93F	vfl	brk	E(spl)	(bi)_(Nasonia_vitripennis)_(DBD_0.98)	Su(H)	CG4404	vis	achi
0.6000000000000001	0.8721387356872385	0.7664775794038233	0.03619432832926224	0.71	0.03113590282044901	SU(HW)	Med	sug	hth	dmrt99B	peb	Mad	Cf2	knrl	pad	caup	Eip93F	vfl	brk	E(spl)	(bi)_(Nasonia_vitripennis)_(DBD_0.98)	Su(H)	CG4404	vis	achi
0.7000000000000001	0.8721387356872385	0.7664775794038233	0.03619432832926224	0.71	0.03113590282044901	SU(HW)	Med	sug	hth	dmrt99B	peb	Mad	Cf2	knrl	pad	caup	Eip93F	vfl	brk	E(spl)	(bi)_(Nasonia_vitripennis)_(DBD_0.98)	Su(H)	CG4404	vis	achi
0.8	0.8721387356872385	0.7664775794038233	0.03619432832926224	0.71	0.03113590282044901	SU(HW)	Med	sug	hth	dmrt99B	peb	Mad	Cf2	knrl	pad	caup	Eip93F	vfl	brk	E(spl)	(bi)_(Nasonia_vitripennis)_(DBD_0.98)	Su(H)	CG4404	vis	achi
0.9	0.8721387356872385	0.7664775794038233	0.03619432832926224	0.71	0.03113590282044901	SU(HW)	Med	sug	hth	dmrt99B	peb	Mad	Cf2	knrl	pad	caup	Eip93F	vfl	brk	E(spl)	(bi)_(Nasonia_vitripennis)_(DBD_0.98)	Su(H)	CG4404	vis	achi
1.0	0.8721387356872385	0.7664775794038233	0.03619432832926224	0.71	0.03113590282044901	SU(HW)	Med	sug	hth	dmrt99B	peb	Mad	Cf2	knrl	pad	caup	Eip93F	vfl	brk	E(spl)	(bi)_(Nasonia_vitripennis)_(DBD_0.98)	Su(H)	CG4404	vis	achi
